Hue,Color name,Brand,Pigment 1,Pigment 2,Pigment 3,Single pigemnt,Pigment known,Alternative names/similar names
Green,Cypress Green,CfM,,,,No,No,
Blue,Cerulean,CfM,PB15,,,Yes,Yes,Phthalo Blue
Blue,Prussian Blue,Winsor & Newton,PB27,,,Yes,Yes,Prussian Blue
Pink,Coral,CfM,,,,No,No,
Green,Meadow,CfM,,,,No,No,
Blue,Lavender Blue Lake,CfM,PB29,,,Yes,Yes,French Ultramarine
Blue,Ultramarine (Green Shade),Winsor & Newton,PB29,,,Yes,Yes,
Gray,Payne's Grey,CfM,,,,No,No,
Silver,Silver,CfM,,,,No,No,
Green,Olive,CfM,,,,No,No,
Violet,Lupine,CfM,,,,No,No,
Blue,Indigo,CfM,PB66,,,Yes,Yes,Indigo
Pink,Fuchsia,CfM,,,,No,No,
Red,Poppy,CfM,,,,No,No,
Earth,Burnt Umber,Winsor & Newton,PBr7,PR101,PY42,No,Yes,
Green,Tide Pool,CfM,,,,No,No,
Yellow,Oxalis,CfM,,,,No,No,
Pink,Hot Pink,CfM,,,,No,No,
Earth,Raw Umber,Winsor & Newton,PBr7,,,Yes,Yes,
Green,Permanent Sap Green,Winsor & Newton,PG36  ,PY110,,No,Yes,Pththalo Green
Yellow,Indian Yellow,Winsor & Newton,PO62,PY139,,No,Yes,
Earth,Burnt Sienna,Winsor & Newton,PR101,,,Yes,Yes,
Red,Cadmium Red,Winsor & Newton,PR108,,,Yes,Yes,
Red,French Vermilion,CfM,PR4,PY1,,No,Yes,Permanent Red + Hansa Yellow G
Red,Alizarin Crimson,Winsor & Newton,PR83,,,Yes,Yes,
Pink,Ultramarine Pink,CfM,PV15,,,Yes,Yes,Ultramarine Violet
Red,Primary Red,CfM,PV19,,,Yes,Yes,Quinacridone Red
Red,Permanent Rose,Winsor & Newton,PV19,,,Yes,Yes,Quinacridone Rose
Red,Cadmium-free Red,Winsor & Newton,,,,No,No,
Violet,Winsor Violet (Dioxazine),Winsor & Newton,PV23,,,Yes,Yes,Dioxazine Purple
White,Titanium White,da Vinci,PW6,,,Yes,Yes,
Yellow,Aureolin Hue,Winsor & Newton,PY151,PBr57,,No,Yes,
Yellow,Cadmium Yellow,Winsor & Newton,PY35,PO20,,No,Yes,
Earth,Raw Sienna,Winsor & Newton,PY42,PR101,,No,Yes,
Earth,Yellow Ochre,Winsor & Newton,PY43,,,Yes,Yes,