Color Index Name,Pigment Name(s),Paint Brand & Number,family
,,,
,green yellow,,
PY3,hansa yellow light,Daniel Smith 070,green yellow
PY35,cadmium lemon,Winsor & Newton 080,green yellow
PY129,copper azomethine green,Robert Doak ---,green yellow
PY175,benzimidazolone yellow [lemon],Winsor & Newton 211,green yellow
PY184,bismuth yellow,Winsor & Newton 222,green yellow
PG7+PY42,olive green,Winsor & Newton 033,green yellow
PG10,nickel azomethine green,Daniel Smith 037,green yellow
PY97+PG36,permanent green yellowish,MaimeriBlu 338,green yellow
,yellow,,
PY1,arylide yellow G,Blockx 212,yellow
PY34,chrome yellow,Winsor & Newton,yellow
PY35,"cadmium yellow pale
cadmium yellow","Winsor & Newton 087
M. Graham 060",yellow
PY40,aureolin,Winsor & Newton 063,yellow
PY53,nickel titanate yellow,Daniel Smith 061,yellow
PY74,hansa brilliant yellow,Da Vinci ---,yellow
PY97,hansa yellow medium,Daniel Smith 039,yellow
PY117,copper azomethine green,Holbein 046,yellow
PY120,benzimidazolone yellow [middle],Old Holland 014,yellow
PY129,copper azomethine green,Winsor & Newton 217,yellow
PY138,quinophthalone yellow,Rowney Artists 014,yellow
PY151,benzimidazolone yellow [pale],M. Graham 018,yellow
PY154,benzimidazolone yellow [pale],Winsor & Newton 058,yellow
PY159,zirconium praesodymium silicate,Winsor & Newton 348,yellow
,orange yellow,,
PY65,hansa yellow deep,Daniel Smith 031,orange yellow
PY83,diarylide yellow HR,Old Holland 015,orange yellow
PY108,anthrapyrimidine yellow,Daniel Smith 024,orange yellow
PY150,nickel azomethine yellow,Daniel Smith 108,orange yellow
PY153,nickel dioxine yellow,Daniel Smith 020,orange yellow
PY216,titanium zinc antimony stannate,Winsor & Newton 649,orange yellow
NY24,genuine gamboge,Winsor & Newton 069,orange yellow
PR48,beta oxynaphtholic acid scarlet,Holbein 225,orange red (spectrum red)
PR106,vermilion [mercuric sulfide],Blockx 320,orange red (spectrum red)
PR108,"cadmium scarlet
cadmium red light","Winsor & Newton 006
Holbein 214",orange red (spectrum red)
PR112,naphthol AS-D red,M. Graham 120,orange red (spectrum red)
PR168,anthraquinone scarlet,Old Holland 151,orange red (spectrum red)
PR188,naphthol AS scarlet,Winsor & Newton 044,orange red (spectrum red)
PR242,disazo condensation scarlet,Sennelier 675,orange red (spectrum red)
PR251,pyrazoloquinazolone scarlet,Schmincke 361,orange red (spectrum red)
PR255,pyrrole scarlet,Daniel Smith 084,orange red (spectrum red)
PR3,beta naphthol red*,Blockx 225,red
PR9,naphthol AS red*,Lukas 1097,red
PR108,cadmium red*,Winsor & Newton 082,red
PR149,perylene scarlet*,Daniel Smith 044,red
PR170,naphthol AS red*,Rowney Artists 509,red
PR209,quinacridone red,M. Graham 155,red
PR214,disazo condensation red*,Old Holland 024,red
PR254,pyrrole red,MaimeriBlu 263,red
PR260,isoindoline scarlet*,Old Holland 148,red
PR23,naphthol AS carmine*,Holbein 210,deep red
PR83,alizarin crimson,Winsor & Newton 002,deep red
PR108,"cadmium red deep*
cadmium red*","MaimeriBlu 232
M. Graham 040",deep red
PR170,naphthol AS red*,Daniel Smith 093,deep red
PR176,benzimidazolone carmine,Daniel Smith 094,deep red
PR177,anthraquinone red,MaimeriBlu 253,deep red
PR178,perylene red,Daniel Smith 029,deep red
PR179,perylene maroon,Daniel Smith 002,deep red
PR216,pyranthrone red deep,Holbein 023,deep red
PR264,pyrrole crimson,Daniel Smith 127,deep red
PR N/A,quinacridone pyrrolidone [carmine],Winsor & Newton 226,deep red
PV19,quinacridone red,Daniel Smith 056,deep red
PV29,perylene violet,Winsor & Newton 470,deep red
violet red [magenta],,,
PR60,disazo lake,Holbein 002,violet red [magenta]
PR122,quinacridone magenta,Winsor & Newton 229,violet red [magenta]
PR171,benzimidazolone maroon,Daniel Smith 039,violet red [magenta]
PR202,quinacridone magenta,Daniel Smith 073,violet red [magenta]
PV19,quinacridone violet,M. Graham 158,violet red [magenta]
PV19,quinacridone rose,"Winsor & Newton 075
M. Graham 156",violet red [magenta]
PV32,benzimidazolone bordeaux,Daniel Smith 008,violet red [magenta]
PV42,quinacridone pink,Daniel Smith 013,violet red [magenta]
NR9,rose madder genuine,Winsor & Newton 090,violet red [magenta]
NR4,cochineal (carmine),Sennelier 637,violet red [magenta]
red violet,,,
PR88,thioindigo violet,Winsor & Newton 231,red violet
PV14,cobalt violet deep,"Holbein 110
Rowney Artists 417",red violet
PV15,ultramarine red,Daniel Smith 052,red violet
PV16,manganese violet,Daniel Smith 038,red violet
PV49,cobalt violet light,Daniel Smith 088,red violet
PR259,ultramarine pink,M. Graham 192,red violet
,violet,,
PV14,cobalt violet deep,"Holbein 110
Daniel Smith 030",violet
PV15,ultramarine violet [RS],Winsor & Newton 221,violet
PV23,dioxazine violet,Winsor & Newton 213,violet
,blue violet,,
PB29+PV15,ultramarine violet [BS],M. Graham 193,blue violet
PB60,indanthrone blue,Daniel Smith 018,blue violet
PV39,triphenylmethane violet,Sennelier 903,blue violet
violet blue,,,
PB29,"ultramarine blue
french ultramarine
ultramarine blue deep","M. Graham 190
Winsor & Newton 068
Holbein 094",violet blue
PB29,ultramarine blue GS,Winsor & Newton 220,violet blue
PB72,cobalt blue deep,Rowney Artists 116,violet blue
PB73,cobalt blue deep,Winsor & Newton 233,violet blue
PB74,cobalt blue deep,Old Holland 038,violet blue
,blue,,
PB15:1,phthalocyanine blue RS,Winsor & Newton 208,blue
PB15:3,"phthalocyanine blue
phthalocyanine blue GS","M. Graham 140
Winsor & Newton 207",blue
PB27,iron [prussian] blue,"Daniel Smith 036
Winsor & Newton 003",blue
PB28,cobalt blue,M. Graham 090,blue
PB35,cerulean blue RS,"Holbein 092
Winsor & Newton 065",blue
,green blue,,
PB15:3+PG7,green blue,MaimeriBlu 409,green blue
PB16,phthalocyanine turquoise,MaimeriBlu 350,green blue
PB17,phthalocyanine cyan,Holbein 101,green blue
PB33,manganese blue,Blockx 250,green blue
PB36,cerulean blue GS,"Daniel Smith 065
M. Graham 080",green blue
PB36,cobalt turquoise,Winsor & Newton 078,green blue
PG50,cobalt teal blue,Utrecht 166,green blue
blue green,,,
PG7,"phthalocyanine green
phthalocyanine green BS","M. Graham 150
Winsor & Newton 209",blue green
PG18,viridian,Winsor & Newton 077,blue green
PG19,cobalt zinc oxide,Rowney Artists 324,blue green
PG26,cobalt chromate,Schmincke 533,blue green
PG50,cobalt titanate [BS],Winsor & Newton 067,blue green
,green,,
PG7+PY3,permanent green,Daniel Smith 022,green
PG36,phthalocyanine green YS,Winsor & Newton 210,green
PG50,"cobalt titanate YS
cobalt green light","Winsor & Newton 234
MaimeriBlu 316",green
,yellow green,,
PG7+PY150,hooker's green,Rembrandt 623,yellow green
PG23,terre verte,"Blockx 161
Winsor & Newton 048",yellow green
"PG7+PY3
PG36+PY175",permanent green light,"Daniel Smith 047
MaimeriBlu 339",yellow green
PG7+PO49,sap green,Daniel Smith 043,yellow green
PG7+PY3,phthalo yellow green,Daniel Smith 124,yellow green
PG8,hooker's green,Utrecht 163,yellow green
PG17,chromium oxide green,Winsor & Newton 072,yellow green
PG36+PO49,hooker's green,Winsor & Newton 202,yellow green
earth yellow,,,
PBr7,raw sienna,"Daniel Smith 197
M. Graham 160",earth yellow
PBr24,chrome titanate yellow,Winsor & Newton 203,earth yellow
PO49,quinacridone gold,Daniel Smith 096,earth yellow
"PR108+PO20+PW6
PY37+PY42+PW4",naples yellow,"Holbein 232
Blockx 115",earth yellow
PY42,"gold ochre
mars yellow
transparent yellow oxide","Winsor & Newton 059
Daniel Smith 060
Daniel Smith 121",earth yellow
PY43,yellow ochre,Winsor & Newton 216,earth yellow
,earth orange,,
PBr7,burnt sienna,"Daniel Smith 198
M. Graham 020",earth orange
PR101,"burnt sienna
transparent red oxide","Winsor & Newton
Daniel Smith 020",earth orange
PBr11,magnesium ferrite,Daniel Smith 019,earth orange
PO48,quinacridone orange,Daniel Smith 091,earth orange
PO49+PR209,quinacridone sienna,Daniel Smith 095,earth orange
PR102,burnt yellow ochre,Old Holland 059,earth orange
PY119,zinc magnesium ferrite,"Holbein 328
Winsor & Newton 381",earth orange
,earth red,,
PO65,methin nickel complex,Old Holland 136,earth red
PR101,venetian red [mars red],Winsor & Newton 051,earth red
PR101,indian red,Utrecht 006,earth red
PR101,mars brown,Old Holland 346,earth red
PR101+PY42,light red,Winsor & Newton 029,earth red
PR175,benzimidazolone red,Daniel Smith 046,earth red
PR206,quinacridone maroon,Daniel Smith 007,earth red
PR233,chrome aluminum stannate,Winsor & Newton 537,earth red
,brown [dark earth hue],,
PBr6,van dyke brown,M. Graham 194,brown [dark earth hue]
PBr7,raw umber,"Daniel Smith 041
Winsor & Newton 554",brown [dark earth hue]
PBr7,burnt umber,M. Graham 030,brown [dark earth hue]
PBr25,benzimidazolone brown,Daniel Smith 032,brown [dark earth hue]
PBr33,zinc iron chromite,Schmincke 041,brown [dark earth hue]
PBr41,disazo condensation brown,Schmincke 648,brown [dark earth hue]
PR101,transparent brown oxide,Daniel Smith 129,brown [dark earth hue]
PR101,"caput mortuum
mars violet","Winsor & Newton 215
Daniel Smith 102",brown [dark earth hue]
white,,,
PW4,zinc white,Winsor & Newton 011,white
PW6,"titanium white
buff titanium white","Winsor & Newton 206
Daniel Smith 015",white
,gray,,
PBk10,powdered graphite,Daniel Smith 010,gray
PBk19+PW4+PBk6,davy's gray,Winsor & Newton 019,gray
,dark shade,,
PBk6+PB60,indigo,Daniel Smith 025,dark shade
PBk6+PB15+PV19,neutral tint,Winsor & Newton 032,dark shade
PBk6+PB29,payne's gray,M. Graham 128,dark shade
PBr7+PBk7,sepia,M. Graham 178,dark shade
PBk31,perylene black,Winsor & Newton 386,dark shade
,black,,
PBk6,lamp black,Winsor & Newton 034,black
PBk7,furnace black,MaimeriBlu 537,black
PBk8,vine black,Old Holland 367,black
PBk9,ivory [bone] black,M. Graham 110,black
PBk11,black iron oxide,Daniel Smith 021,black
,metallic,,
PW20,mica (silver/gold),Holbein,metallic
,additions,,
BV10,rhodamine B (fluorescent),Holbein Opera,violet red [magenta]
PY181,benzimidazolone yellow medium,,orange yellow